DIDOK NUMMER,BPUIC,BEZEICHNUNG_OFFIZIELL,Abkuerzung,ORTSCHAFTSNAME,GEMEINDENAME,BFS_NUMMER,BEZIRKSNAME,BEZIRKSNUM,KANTONSNAME,KANTONSKUERZEL,KANTONSNUM,LAND_ISO2_GEO,BP_ART_BEZEICHNUNG_DE,BP_BETRIEBSPUNKT_ART_ID,BPOF_ART_BEZEICHNUNG_DE,BPOF_BETRIEBSPUNKT_ART_ID,BPTF_ART_BEZEICHNUNG_DE,BPVB_ART_BEZEICHNUNG_DE,BPVB_BETRIEBSPUNKT_ART_ID,BPVH_BEZEICHNUNG_ALT,BPVH_EPR_CODE,BPVH_IATA_CODE,E_LV95,N_LV95,Z_LV95,E_LV03,N_LV03,Z_LV03,E_WGS84,N_WGS84,Z_WGS84,BPVH_VERKEHRSMITTEL,BPVH_VERKEHRSMITTEL_TEXT_DE,GO_IDENTIFIKATION,tu-nummer,GO_ABKUERZUNG_DE,GO_BEZEICHNUNG_DE,dst_abk,lod,geopos,IS_HALTESTELLE,dist
95641,8595641,"Lenzburg, Fünflinden",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2654623.0,1248737.0,411,654622.19,248736.9,411,8.16204585,47.38719879,411,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8595641,"47.3871987847, 8.16204585252",1,
78736,8578736,"Lenzburg, Bahnhof",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655313.0,1249147.0,406,655312.19,249146.9,406,8.17123428,47.39082871,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578736,"47.3908287057, 8.17123428256",1,
78695,8578695,"Lenzburg, Traitafina",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655492.0,1249567.0,406,655491.18,249566.9,406,8.17365705,47.39459106,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578695,"47.3945910592, 8.17365704612",1,
78746,8578746,"Lenzburg, Angelrain",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655623.0,1248966.0,406,655622.18,248965.91,406,8.17531743,47.38917473,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578746,"47.3891747321, 8.17531743442",1,
78691,8578691,"Möriken AG, Steinler",,Möriken AG,Möriken-Wildegg,4203,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655661.0,1251524.0,386,655660.18,251523.89,386,8.17613896,47.41217764,386,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578691,"47.4121776364, 8.17613896243",1,
78693,8578693,"Niederlenz, Hetex",,Niederlenz,Niederlenz,4204,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2655827.0,1250078.0,383,655826.18,250077.9,383,8.17815787,47.39915859,383,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8578693,"47.399158594, 8.17815786673",1,
89543,8589543,"Lenzburg, Ziegeleiweg",,Lenzburg,Lenzburg,4201,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656006.0,1247875.0,406,656005.19,247874.92,406,8.18025323,47.37933003,406,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8589543,"47.3793300262, 8.18025323335",1,
2678,8502678,"Egliswil, Waageplatz",,Egliswil,Egliswil,4195,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2656382.0,1244569.0,470,656381.2,244568.95,470,8.1848158,47.34956421,470,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8502678,"47.3495642065, 8.18481580071",1,
88178,8588178,"Brunegg, Industriestrasse",,Brunegg,Brunegg,4193,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2659010.0,1252359.0,414,659009.15,252358.93,414,8.22062096,47.41939588,414,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588178,"47.4193958763, 8.22062096156",1,
88576,8588576,"Hunzenschwil, Gemeindehaus",,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651733.0,1248418.0,409,651732.22,248417.88,409,8.12373613,47.38456291,409,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588576,"47.3845629112, 8.12373613393",1,
2104,8502104,Hunzenschwil,HU,Hunzenschwil,Hunzenschwil,4200,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651877.16,1248833.2,399,651876.37,248833.08,399,8.12569323,47.38828589,399,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,HU,http://lod.opentransportdata.swiss/didok/8502104,"47.3882858408, 8.12569329661",1,
2114,8502114,Rupperswil,RU,Rupperswil,Rupperswil,4206,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2651957.9,1250502.2,374,651957.11,250502.06,374,8.12695637,47.40329025,374,Z,Zug,100001,11,SBB,Schweizerische Bundesbahnen SBB,RU,http://lod.opentransportdata.swiss/didok/8502114,"47.4032902238, 8.12695636496",1,
88571,8588571,"Rupperswil, Schule",,Rupperswil,Rupperswil,4206,Lenzburg,1907,Aargau,AG,19,CH,,,,,,,,,,,2652050.0,1250300.0,374,652049.21,250299.85,374,8.12815291,47.4014644,374,B,Bus,100672,873,RBL,Regionalbus Lenzburg,,http://lod.opentransportdata.swiss/didok/8588571,"47.4014644016, 8.12815290658",1,
80894,8580894,"Auenstein, Eggen",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2652597.0,1252111.0,370,652596.19,252110.85,370,8.13561185,47.41770875,370,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8580894,"47.4177087504, 8.13561184893",1,
15424,8515424,Rupperswil Ost,RUO,Rupperswil,Rupperswil,4206,Lenzburg,1907,Aargau,AG,19,CH,,,,,Spurwechsel,,,,,,2652922.9,1250881.3,365,652922.09,250881.16,365,8.13978471,47.406623,365,,,100001,11,SBB,Schweizerische Bundesbahnen SBB,RUO,http://lod.opentransportdata.swiss/didok/8515424,"47.4066229782, 8.13978474673",0,
80895,8580895,"Auenstein, Hausacher",,Auenstein,Auenstein,4091,Brugg,1904,Aargau,AG,19,CH,,,,,,,,,,,2653009.0,1252088.0,370,653008.19,252087.85,370,8.14106844,47.41746887,370,B,Bus,100602,801,PAG,PostAuto AG,,http://lod.opentransportdata.swiss/didok/8580895,"47.4174688679, 8.1410684385",1,
